x,y,w,h,aspect_ratio,ground_truth,predicted
112,43,49,49,1.0,right,center
114,56,43,43,1.0,right,right
114,54,45,45,1.0,right,center
46,58,36,36,1.0,left,center
107,45,45,45,1.0,right,center
36,46,42,42,1.0,left,center
48,43,47,47,1.0,center,center
110,46,48,48,1.0,right,center
43,47,46,46,1.0,center,center
111,51,48,48,1.0,right,center
47,52,43,43,1.0,center,center
108,41,48,48,1.0,right,right
42,41,41,41,1.0,center,right
50,44,44,44,1.0,center,center
111,45,52,52,1.0,right,right
109,48,47,47,1.0,right,center
47,44,44,44,1.0,center,center
43,42,44,44,1.0,center,center
104,46,47,47,1.0,right,center
109,51,49,49,1.0,right,center
54,49,47,47,1.0,center,center
99,48,53,53,1.0,right,center
46,41,54,54,1.0,center,center
105,48,50,50,1.0,right,center
51,44,49,49,1.0,center,center
105,41,58,58,1.0,right,center
50,49,43,43,1.0,center,center
117,52,46,46,1.0,right,right
45,48,45,45,1.0,left,center
119,52,44,44,1.0,right,center
60,138,34,34,1.0,center,center
47,50,45,45,1.0,center,center
120,52,47,47,1.0,right,center
46,50,45,45,1.0,left,center
120,50,47,47,1.0,right,center
123,53,48,48,1.0,right,center
49,53,46,46,1.0,left,center
67,140,38,38,1.0,center,center
46,50,46,46,1.0,left,center
120,50,48,48,1.0,right,center
121,52,48,48,1.0,right,center
46,53,46,46,1.0,left,center
119,49,48,48,1.0,right,center
44,50,47,47,1.0,left,center
126,57,47,47,1.0,right,center
51,57,47,47,1.0,center,center
121,50,48,48,1.0,right,center
46,51,47,47,1.0,left,center
117,49,47,47,1.0,right,center
41,49,47,47,1.0,left,center
117,49,48,48,1.0,right,center
42,50,47,47,1.0,left,center
115,45,48,48,1.0,right,center
73,147,22,22,1.0,center,center
37,45,49,49,1.0,left,center
83,162,24,24,1.0,center,center
126,60,49,49,1.0,right,center
49,59,50,50,1.0,left,center
125,57,49,49,1.0,right,center
53,58,46,46,1.0,center,center
81,155,25,25,1.0,center,center
52,52,56,56,1.0,center,center
112,51,57,57,1.0,right,center
112,54,51,51,1.0,right,center
58,58,43,43,1.0,center,center
53,57,43,43,1.0,center,center
115,52,51,51,1.0,right,center
45,57,42,42,1.0,left,center
111,50,52,52,1.0,right,center
113,49,53,53,1.0,right,center
48,59,39,39,1.0,left,center
113,52,50,50,1.0,right,center
90,165,26,26,1.0,center,right
45,60,41,41,1.0,left,center
114,50,51,51,1.0,right,center
45,60,42,42,1.0,left,center
117,53,49,49,1.0,right,center
48,60,42,42,1.0,center,center
120,58,48,48,1.0,right,center
48,64,46,46,1.0,left,center
118,55,48,48,1.0,right,center
47,61,44,44,1.0,left,center
79,153,24,24,1.0,center,center
121,63,47,47,1.0,right,center
48,67,45,45,1.0,left,center
78,160,28,28,1.0,center,center
